,0
0,CRHBP
1,EGFL7
2,NRP1
3,DNMBP
4,ICAM1
5,SORT1
6,CD40
7,ANXA11
8,NCR1
9,CLEC1B
10,NCF2
11,CNPY4
12,NRP2
13,IL2RA
14,TXNDC5
15,NDUFS6
16,ADA2
17,PECAM1
18,PRKRA
19,LAT
20,SCAMP3
21,ADAM22
22,BOC
23,CST5
24,CDCP1
25,ENPP2
26,ROR1
27,MEGF10
28,CCDC80
29,PON3
30,CST3
31,KLRD1
32,UXS1
33,DBI
34,TFF1
