,0
0,CD40
1,NPPC
2,CD84
3,SCARF2
4,AXL
5,PTK7
6,CDCP1
7,CCL11
8,TXNDC5
9,MSLN
10,CCN5
11,APLP1
12,PADI2
13,CGREF1
14,CCL17
15,ADAM22
16,TEK
17,ADA2
18,CLEC7A
19,LAT
20,TFF2
21,IL7R
22,HAO1
23,DKK1
24,DCBLD2
25,KLRB1
26,CCN3
27,PLA2G1B
28,MSTN
29,CCL24
30,RSPO3
31,TNFRSF6B
32,TIA1
33,CA12
34,CD302
35,CCL13
36,GUCA2A
37,SPARC
38,CCL16
39,CPA2
40,CD5
41,IL1R2
42,RNASET2
43,CCDC80
44,FGR
45,PRSS2
46,SPINK1
47,CA5A
48,SPP1
49,IL1B
50,INPP1
51,ACAA1
52,CDKN2D
53,APP
54,VEGFA
55,CD99
