,0
0,CCL25
1,EPHB6
2,PRKRA
3,MFAP3
4,AGRP
5,ACE2
6,KLRD1
7,SKAP2
8,PPP1R9B
9,IKBKG
10,CCL11
11,IDI2
12,CCL21
13,0.5
