,0
0,CXCL9
1,DSG3
2,RBP5
3,TNFRSF14
4,LAIR1
5,CEACAM8
6,KITLG
7,CCDC80
8,ACP5
9,SPON2
10,NECTIN2
11,GZMH
12,PRSS8
13,NTRK2
14,FCN2
15,TIA1
16,SPINT2
17,DRAXIN
18,CXCL10
19,WASF1
20,NPPB
21,SIRPA
22,EGFL7
23,HSPG2
24,FKBP1B
25,ITGA11
26,KLK11
27,CCL23
28,ACTN4
29,SEMA4D
30,THBD
31,ADAM22
32,COX5B
33,ADAMTS15
34,ERBB2
35,ARHGAP25
36,TGFA
37,CNTN5
38,MMP10
39,CD209
40,ADAMTS16
41,YES1
42,CXCL16
43,HYOU1
44,TNFSF12
45,C4BPB
46,SOST
47,PTS
48,TNFSF11
49,CXADR
50,THY1
51,CD300C
52,PON3
53,XCL1
54,IGF2R
55,AMY2B
56,VSIR
57,IL7R
58,SLC39A14
59,SDC4
60,CHRDL2
61,VCAN
62,ADGRG2
63,ENPP5
64,UXS1
65,CLEC11A
66,VASN
67,FCGR2A
68,SPARC
69,ADAM23
70,AGXT
71,LCN2
72,EPHB4
73,PAPPA
74,CCL11
75,LIF
76,REG1A
77,IL6R
78,SORT1
79,ADGRB3
80,AGRP
81,PLTP
82,CD99
83,TNFRSF21
84,DPT
85,GPNMB
86,IGFBP4
87,CCL13
88,FOSB
89,P4HB
90,CNTN1
91,DAG1
92,ANGPTL7
93,DPP10
94,COLEC12
95,FETUB
96,TFPI
97,EDAR
98,DKK1
99,CEACAM21
100,SH2B3
101,CCN4
102,CST6
103,TIMP3
104,CD59
105,MILR1
106,ITGA5
107,MFAP5
108,COL1A1
109,IDUA
110,HMOX2
111,PDP1
112,INHBC
113,MANF
114,ACVRL1
115,RARRES2
116,APP
117,IL32
118,CCN3
119,DCBLD2
120,ICAM1
121,PCSK9
122,S100P
123,GPR37
124,ULBP2
125,ROBO1
126,IFNGR1
127,THBS2
128,ESAM
129,FABP4
130,ADGRE2
131,GALNT2
132,CD83
133,REG1B
134,LAT
135,HAO1
136,CCL24
137,GP1BA
138,SCARB2
139,NFKBIE
140,TNFRSF10C
141,CFC1
142,SPOCK1
143,NEFL
144,OGN
145,REG3A
146,RSPO3
147,SMOC2
148,TSHB
149,0.012738853503184714
