,0
0,TREM2
1,CALB1
2,TXNDC5
3,MUC16
4,COL6A3
5,NADK
6,SCG2
7,NXPH1
8,LIF
9,IL1RL1
10,KIR2DL3
11,TGFBR3
12,FKBP1B
13,IFNL1
14,TIMP3
15,SERPINB6
16,NRP2
17,TSPAN1
18,LAT
19,MIA
20,ANGPTL1
21,VASN
22,TNFSF11
23,CD69
24,CNPY4
25,EFNA4
26,EGFL7
27,FAP
28,CXCL1
29,NCS1
30,SULT1A1
31,GDF2
32,CEACAM8
33,MOG
34,LAMA4
35,NPPB
36,CLPP
37,CPM
38,IGSF8
39,MSRA
40,LRRN1
41,ADGRE5
42,LPL
43,ACP6
44,AMY2B
45,AFP
46,RHOC
47,MGMT
48,WFDC2
49,CDH3
50,MESD
51,ART3
52,MANF
53,IL6R
54,PREB
55,AMBP
56,BSG
57,CR2
58,VEGFC
59,ITGA5
60,CD28
61,TAFA5
62,THY1
63,FLI1
64,IL32
65,ADA2
66,AGRP
67,PAMR1
68,FABP1
69,DBI
70,IL12RB1
71,ADAM15
72,FRZB
73,ANG
74,EDIL3
75,TGFBR2
76,SIRPB1
77,THBD
78,KLRB1
79,CD93
80,COL18A1
81,GRN
82,ICAM1
83,MARCO
84,CCL24
85,KAZALD1
86,TFF1
87,GP6
88,PIK3IP1
89,IL2RA
90,DEFA1_DEFA1B
91,FGF5
92,ROR1
93,GPNMB
94,REG1B
95,PHOSPHO1
96,EPS8L2
97,FCRL5
98,CD55
99,TNFSF13B
100,MMP7
101,SIGLEC1
102,NOTCH3
103,LGMN
104,EPHA1
105,TIMP1
106,CD209
107,PDGFB
108,ITGA11
109,CD300LF
110,CCL16
111,MNDA
112,ACE2
113,CD302
114,REG1A
115,AIFM1
116,EDA2R
117,ESM1
118,NFKBIE
119,ARTN
120,CXCL17
121,MDK
122,NECTIN4
123,NEFL
124,PRL
125,REG3A
126,RSPO1
127,RSPO3
128,TFPI
129,TFPI2
130,TSHB
131,0.027777777777777776
