,0
0,LIF
1,KIR2DL3
2,TGFBR3
3,SERPINB6
4,LAT
5,TNFSF11
6,CLPP
7,MSRA
8,AFP
9,RHOC
10,MGMT
11,MESD
12,MANF
13,CD28
14,FLI1
15,PAMR1
16,FRZB
17,ICAM1
18,KAZALD1
19,ROR1
20,MNDA
21,AIFM1
