,0
0,LAIR1
1,CEACAM8
2,ACP5
3,SPON2
4,NECTIN2
5,WASF1
6,SIRPA
7,EGFL7
8,SEMA4D
9,THBD
10,ADAM22
11,ERBB2
12,ARHGAP25
13,CNTN5
14,TNFSF11
15,CD300C
16,VSIR
17,CHRDL2
18,VCAN
19,ENPP5
20,CLEC11A
21,VASN
22,ADAM23
23,AGXT
24,LCN2
25,PAPPA
26,LIF
27,TNFRSF21
28,DPT
29,GPNMB
30,CNTN1
31,ANGPTL7
32,FETUB
33,MFAP5
34,ACVRL1
35,APP
36,CCN3
37,DCBLD2
38,ICAM1
39,ULBP2
40,IFNGR1
41,LAT
42,HAO1
