"","Tissue","Total","Organ_Count","Tissue_Count","Split","Model"
"1","Group enriched: adipose tissue, breast",1,1,"1-Group enriched: adipose tissue, breast","60%-40%","Deep"
"2","Group enriched: adrenal gland, pituitary gland, placenta",1,2,"2-Group enriched: adrenal gland, pituitary gland, placenta","60%-40%","Deep"
"3","Group enriched: bone marrow, brain, lymphoid tissue, thyroid gland",1,3,"3-Group enriched: bone marrow, brain, lymphoid tissue, thyroid gland","60%-40%","Deep"
"4","Group enriched: bone marrow, lymphoid tissue",3,4,"4-Group enriched: bone marrow, lymphoid tissue","60%-40%","Deep"
"5","Group enriched: bone marrow, skeletal muscle",1,5,"5-Group enriched: bone marrow, skeletal muscle","60%-40%","Deep"
"6","Group enriched: brain, choroid plexus",1,6,"6-Group enriched: brain, choroid plexus","60%-40%","Deep"
"7","Group enriched: brain, epididymis",1,7,"7-Group enriched: brain, epididymis","60%-40%","Deep"
"8","Group enriched: brain, pituitary gland",1,8,"8-Group enriched: brain, pituitary gland","60%-40%","Deep"
"9","Group enriched: brain, retina",1,9,"9-Group enriched: brain, retina","60%-40%","Deep"
"10","Group enriched: brain, testis",1,10,"10-Group enriched: brain, testis","60%-40%","Deep"
"11","Group enriched: esophagus, salivary gland, skin 1, vagina",1,11,"11-Group enriched: esophagus, salivary gland, skin 1, vagina","60%-40%","Deep"
"12","Group enriched: esophagus, vagina",1,12,"12-Group enriched: esophagus, vagina","60%-40%","Deep"
"13","Group enriched: heart muscle, skeletal muscle, tongue",2,13,"13-Group enriched: heart muscle, skeletal muscle, tongue","60%-40%","Deep"
"14","Group enriched: intestine, kidney, liver, pancreas",1,14,"14-Group enriched: intestine, kidney, liver, pancreas","60%-40%","Deep"
"15","Group enriched: intestine, kidney, retina",1,15,"15-Group enriched: intestine, kidney, retina","60%-40%","Deep"
"16","Group enriched: intestine, liver",1,16,"16-Group enriched: intestine, liver","60%-40%","Deep"
"17","Group enriched: intestine, lymphoid tissue",1,17,"17-Group enriched: intestine, lymphoid tissue","60%-40%","Deep"
"18","Group enriched: intestine, lymphoid tissue, skin 1, urinary bladder",1,18,"18-Group enriched: intestine, lymphoid tissue, skin 1, urinary bladder","60%-40%","Deep"
"19","Group enriched: intestine, pancreas",1,19,"19-Group enriched: intestine, pancreas","60%-40%","Deep"
"20","Group enriched: kidney, liver",1,20,"20-Group enriched: kidney, liver","60%-40%","Deep"
"21","Group enriched: kidney, pancreas, skeletal muscle",1,21,"21-Group enriched: kidney, pancreas, skeletal muscle","60%-40%","Deep"
"22","Low tissue specificity",130,22,"22-Low tissue specificity","60%-40%","Deep"
"23","Tissue enhanced: adipose tissue",4,23,"23-Tissue enhanced: adipose tissue","60%-40%","Deep"
"24","Tissue enhanced: adipose tissue, brain",1,24,"24-Tissue enhanced: adipose tissue, brain","60%-40%","Deep"
"25","Tissue enhanced: adipose tissue, breast, placenta",1,25,"25-Tissue enhanced: adipose tissue, breast, placenta","60%-40%","Deep"
"26","Tissue enhanced: adipose tissue, lymphoid tissue, urinary bladder",1,26,"26-Tissue enhanced: adipose tissue, lymphoid tissue, urinary bladder","60%-40%","Deep"
"27","Tissue enhanced: adipose tissue, skin 1",1,27,"27-Tissue enhanced: adipose tissue, skin 1","60%-40%","Deep"
"28","Tissue enhanced: adipose tissue, tongue",1,28,"28-Tissue enhanced: adipose tissue, tongue","60%-40%","Deep"
"29","Tissue enhanced: adrenal gland",1,29,"29-Tissue enhanced: adrenal gland","60%-40%","Deep"
"30","Tissue enhanced: adrenal gland, brain",1,30,"30-Tissue enhanced: adrenal gland, brain","60%-40%","Deep"
"31","Tissue enhanced: adrenal gland, brain, choroid plexus",1,31,"31-Tissue enhanced: adrenal gland, brain, choroid plexus","60%-40%","Deep"
"32","Tissue enhanced: adrenal gland, brain, pancreas",1,32,"32-Tissue enhanced: adrenal gland, brain, pancreas","60%-40%","Deep"
"33","Tissue enhanced: adrenal gland, liver, pancreas",1,33,"33-Tissue enhanced: adrenal gland, liver, pancreas","60%-40%","Deep"
"34","Tissue enhanced: bone marrow",4,34,"34-Tissue enhanced: bone marrow","60%-40%","Deep"
