"","...1","Tissue","Total","Organ_Count","Tissue_Count","Split","Model"
"250",65,"intestine, urinary bladder",1,65,"65-Tissue enhanced: intestine, urinary bladder","60%-40%","SVM"
"251",66,"kidney, skin 1",1,66,"66-Tissue enhanced: kidney, skin 1","60%-40%","SVM"
"252",67,"kidney, urinary bladder",1,67,"67-Tissue enhanced: kidney, urinary bladder","60%-40%","SVM"
"253",68,"liver",3,68,"68-Tissue enhanced: liver","60%-40%","SVM"
"254",69,"liver, pancreas",1,69,"69-Tissue enhanced: liver, pancreas","60%-40%","SVM"
"255",70,"liver, placenta",1,70,"70-Tissue enhanced: liver, placenta","60%-40%","SVM"
"256",71,"lung",3,71,"71-Tissue enhanced: lung","60%-40%","SVM"
"257",72,"lung, lymphoid tissue",1,72,"72-Tissue enhanced: lung, lymphoid tissue","60%-40%","SVM"
"258",73,"lymphoid tissue",12,73,"73-Tissue enhanced: lymphoid tissue","60%-40%","SVM"
"259",74,"lymphoid tissue, placenta",1,74,"74-Tissue enhanced: lymphoid tissue, placenta","60%-40%","SVM"
"260",75,"lymphoid tissue, smooth muscle",1,75,"75-Tissue enhanced: lymphoid tissue, smooth muscle","60%-40%","SVM"
"261",76,"ovary",1,76,"76-Tissue enhanced: ovary","60%-40%","SVM"
"262",77,"ovary, pituitary gland",1,77,"77-Tissue enhanced: ovary, pituitary gland","60%-40%","SVM"
"263",78,"parathyroid gland, seminal vesicle",1,78,"78-Tissue enhanced: parathyroid gland, seminal vesicle","60%-40%","SVM"
"264",79,"parathyroid gland, testis",1,79,"79-Tissue enhanced: parathyroid gland, testis","60%-40%","SVM"
"265",80,"placenta",4,80,"80-Tissue enhanced: placenta","60%-40%","SVM"
"266",81,"retina",2,81,"81-Tissue enhanced: retina","60%-40%","SVM"
"267",82,"salivary gland",2,82,"82-Tissue enhanced: salivary gland","60%-40%","SVM"
"268",83,"seminal vesicle",1,83,"83-Tissue enhanced: seminal vesicle","60%-40%","SVM"
"269",84,"skeletal muscle",3,84,"84-Tissue enhanced: skeletal muscle","60%-40%","SVM"
"270",85,"skin 1",1,85,"85-Tissue enhanced: skin 1","60%-40%","SVM"
"271",86,"urinary bladder",2,86,"86-Tissue enhanced: urinary bladder","60%-40%","SVM"
"272",87,"bone marrow",2,87,"87-Tissue enriched: bone marrow","60%-40%","SVM"
"273",88,"bone marrow",1,88,"88-Tissue enriched: bone marrow, Tissue enriched: bone marrow","60%-40%","SVM"
"274",89,"brain",5,89,"89-Tissue enriched: brain","60%-40%","SVM"
"275",90,"endometrium 1",1,90,"90-Tissue enriched: endometrium 1","60%-40%","SVM"
"276",91,"intestine",1,91,"91-Tissue enriched: intestine","60%-40%","SVM"
"277",92,"liver",8,92,"92-Tissue enriched: liver","60%-40%","SVM"
"278",93,"lung",2,93,"93-Tissue enriched: lung","60%-40%","SVM"
"279",94,"lymphoid tissue",4,94,"94-Tissue enriched: lymphoid tissue","60%-40%","SVM"
"280",95,"pancreas",7,95,"95-Tissue enriched: pancreas","60%-40%","SVM"
"281",96,"parathyroid gland",1,96,"96-Tissue enriched: parathyroid gland","60%-40%","SVM"
"282",97,"placenta",3,97,"97-Tissue enriched: placenta","60%-40%","SVM"
"283",1,"bone marrow, lymphoid tissue",1,1,"1-Group enriched: bone marrow, lymphoid tissue","70%-30%","Deep"
"284",2,"bone marrow, skeletal muscle",1,2,"2-Group enriched: bone marrow, skeletal muscle","70%-30%","Deep"
"285",3,"brain, epididymis",1,3,"3-Group enriched: brain, epididymis","70%-30%","Deep"
"286",4,"brain, gallbladder",1,4,"4-Group enriched: brain, gallbladder","70%-30%","Deep"
"287",5,"brain, pituitary gland",1,5,"5-Group enriched: brain, pituitary gland","70%-30%","Deep"
"288",6,"esophagus, lymphoid tissue, vagina",1,6,"6-Group enriched: esophagus, lymphoid tissue, vagina","70%-30%","Deep"
"289",7,"esophagus, salivary gland, skin 1, vagina",1,7,"7-Group enriched: esophagus, salivary gland, skin 1, vagina","70%-30%","Deep"
"290",8,"intestine, lymphoid tissue",1,8,"8-Group enriched: intestine, lymphoid tissue","70%-30%","Deep"
"291",9,"intestine, lymphoid tissue, skin 1, urinary bladder",1,9,"9-Group enriched: intestine, lymphoid tissue, skin 1, urinary bladder","70%-30%","Deep"
"292",10,"kidney, liver",1,10,"10-Group enriched: kidney, liver","70%-30%","Deep"
"293",11,"kidney, thyroid gland",1,11,"11-Group enriched: kidney, thyroid gland","70%-30%","Deep"
"294",12,"lymphoid tissue, placenta",1,12,"12-Group enriched: lymphoid tissue, placenta","70%-30%","Deep"
"295",13,"Low tissue specificity",37,13,"13-Low tissue specificity","70%-30%","Deep"
"296",14,"Not detected",1,14,"14-Not detected","70%-30%","Deep"
"297",15,"adipose tissue",2,15,"15-Tissue enhanced: adipose tissue","70%-30%","Deep"
"298",16,"adipose tissue, breast, placenta",1,16,"16-Tissue enhanced: adipose tissue, breast, placenta","70%-30%","Deep"
"299",17,"adipose tissue, cervix",1,17,"17-Tissue enhanced: adipose tissue, cervix","70%-30%","Deep"
"300",18,"adrenal gland, brain",1,18,"18-Tissue enhanced: adrenal gland, brain","70%-30%","Deep"
"301",19,"adrenal gland, brain, choroid plexus",1,19,"19-Tissue enhanced: adrenal gland, brain, choroid plexus","70%-30%","Deep"
"302",20,"adrenal gland, brain, pancreas",1,20,"20-Tissue enhanced: adrenal gland, brain, pancreas","70%-30%","Deep"
"303",21,"bone marrow, gallbladder, salivary gland",1,21,"21-Tissue enhanced: bone marrow, gallbladder, salivary gland","70%-30%","Deep"
"304",22,"bone marrow, lymphoid tissue",2,22,"22-Tissue enhanced: bone marrow, lymphoid tissue","70%-30%","Deep"
"305",23,"bone marrow, thyroid gland",1,23,"23-Tissue enhanced: bone marrow, thyroid gland","70%-30%","Deep"
"306",24,"brain",7,24,"24-Tissue enhanced: brain","70%-30%","Deep"
"307",25,"brain, gallbladder, kidney, placenta",1,25,"25-Tissue enhanced: brain, gallbladder, kidney, placenta","70%-30%","Deep"
"308",26,"brain, heart muscle",1,26,"26-Tissue enhanced: brain, heart muscle","70%-30%","Deep"
"309",27,"brain, intestine",1,27,"27-Tissue enhanced: brain, intestine","70%-30%","Deep"
"310",28,"brain, kidney, testis",1,28,"28-Tissue enhanced: brain, kidney, testis","70%-30%","Deep"
"311",29,"brain, ovary",1,29,"29-Tissue enhanced: brain, ovary","70%-30%","Deep"
"312",30,"brain, placenta, salivary gland, thyroid gland",1,30,"30-Tissue enhanced: brain, placenta, salivary gland, thyroid gland","70%-30%","Deep"
"313",31,"brain, retina",1,31,"31-Tissue enhanced: brain, retina","70%-30%","Deep"
"314",32,"brain, salivary gland",1,32,"32-Tissue enhanced: brain, salivary gland","70%-30%","Deep"
"315",33,"breast, choroid plexus",1,33,"33-Tissue enhanced: breast, choroid plexus","70%-30%","Deep"
"316",34,"breast, fallopian tube, pancreas",1,34,"34-Tissue enhanced: breast, fallopian tube, pancreas","70%-30%","Deep"
"317",35,"cervix, gallbladder",1,35,"35-Tissue enhanced: cervix, gallbladder","70%-30%","Deep"
"318",36,"cervix, intestine, stomach 1",1,36,"36-Tissue enhanced: cervix, intestine, stomach 1","70%-30%","Deep"
"319",37,"cervix, placenta, urinary bladder",1,37,"37-Tissue enhanced: cervix, placenta, urinary bladder","70%-30%","Deep"
"320",38,"cervix, salivary gland, stomach 1",1,38,"38-Tissue enhanced: cervix, salivary gland, stomach 1","70%-30%","Deep"
"321",39,"endometrium 1",1,39,"39-Tissue enhanced: endometrium 1","70%-30%","Deep"
"322",40,"endometrium 1, gallbladder, lymphoid tissue, smooth muscle",1,40,"40-Tissue enhanced: endometrium 1, gallbladder, lymphoid tissue, smooth muscle","70%-30%","Deep"
"323",41,"endometrium 1, seminal vesicle, smooth muscle",1,41,"41-Tissue enhanced: endometrium 1, seminal vesicle, smooth muscle","70%-30%","Deep"
"324",42,"esophagus",2,42,"42-Tissue enhanced: esophagus","70%-30%","Deep"
"325",43,"esophagus, vagina",1,43,"43-Tissue enhanced: esophagus, vagina","70%-30%","Deep"
"326",44,"gallbladder",1,44,"44-Tissue enhanced: gallbladder","70%-30%","Deep"
"327",45,"gallbladder, intestine, kidney",1,45,"45-Tissue enhanced: gallbladder, intestine, kidney","70%-30%","Deep"
"328",46,"intestine, lymphoid tissue",1,46,"46-Tissue enhanced: intestine, lymphoid tissue","70%-30%","Deep"
"329",47,"intestine, salivary gland",1,47,"47-Tissue enhanced: intestine, salivary gland","70%-30%","Deep"
"330",48,"kidney, liver",1,48,"48-Tissue enhanced: kidney, liver","70%-30%","Deep"
"331",49,"liver",2,49,"49-Tissue enhanced: liver","70%-30%","Deep"
"332",50,"liver, lung, lymphoid tissue",1,50,"50-Tissue enhanced: liver, lung, lymphoid tissue","70%-30%","Deep"
"333",51,"liver, pancreas",2,51,"51-Tissue enhanced: liver, pancreas","70%-30%","Deep"
"334",52,"liver, skeletal muscle",1,52,"52-Tissue enhanced: liver, skeletal muscle","70%-30%","Deep"
"335",53,"lung",1,53,"53-Tissue enhanced: lung","70%-30%","Deep"
"336",54,"lung, lymphoid tissue",1,54,"54-Tissue enhanced: lung, lymphoid tissue","70%-30%","Deep"
"337",55,"lung, lymphoid tissue, skin 1",1,55,"55-Tissue enhanced: lung, lymphoid tissue, skin 1","70%-30%","Deep"
"338",56,"lung, urinary bladder",1,56,"56-Tissue enhanced: lung, urinary bladder","70%-30%","Deep"
"339",57,"lymphoid tissue",12,57,"57-Tissue enhanced: lymphoid tissue","70%-30%","Deep"
"340",58,"ovary, pancreas",1,58,"58-Tissue enhanced: ovary, pancreas","70%-30%","Deep"
"341",59,"pancreas",1,59,"59-Tissue enhanced: pancreas","70%-30%","Deep"
"342",60,"placenta",1,60,"60-Tissue enhanced: placenta","70%-30%","Deep"
"343",61,"retina",1,61,"61-Tissue enhanced: retina","70%-30%","Deep"
"344",62,"salivary gland",1,62,"62-Tissue enhanced: salivary gland","70%-30%","Deep"
"345",63,"skeletal muscle",1,63,"63-Tissue enhanced: skeletal muscle","70%-30%","Deep"
"346",64,"smooth muscle",1,64,"64-Tissue enhanced: smooth muscle","70%-30%","Deep"
"347",65,"urinary bladder",2,65,"65-Tissue enhanced: urinary bladder","70%-30%","Deep"
"348",66,"bone marrow",1,66,"66-Tissue enriched: bone marrow","70%-30%","Deep"
"349",67,"brain",1,67,"67-Tissue enriched: brain","70%-30%","Deep"
"350",68,"endometrium 1",1,68,"68-Tissue enriched: endometrium 1","70%-30%","Deep"
"351",69,"heart muscle",1,69,"69-Tissue enriched: heart muscle","70%-30%","Deep"
"352",70,"intestine",1,70,"70-Tissue enriched: intestine","70%-30%","Deep"
"353",71,"kidney",2,71,"71-Tissue enriched: kidney","70%-30%","Deep"
"354",72,"liver",8,72,"72-Tissue enriched: liver","70%-30%","Deep"
"355",73,"lung",1,73,"73-Tissue enriched: lung","70%-30%","Deep"
"356",74,"lymphoid tissue",3,74,"74-Tissue enriched: lymphoid tissue","70%-30%","Deep"
"357",75,"pancreas",4,75,"75-Tissue enriched: pancreas","70%-30%","Deep"
"358",76,"pituitary gland",1,76,"76-Tissue enriched: pituitary gland","70%-30%","Deep"
"359",77,"placenta",1,77,"77-Tissue enriched: placenta","70%-30%","Deep"
"360",78,"testis",1,78,"78-Tissue enriched: testis","70%-30%","Deep"
"361",1,"bone marrow, lymphoid tissue",1,1,"1-Tissue enhanced: bone marrow, lymphoid tissue","70%-30%","BR_GaussianNB"
"362",1,"bone marrow, lymphoid tissue",1,1,"1-Tissue enhanced: bone marrow, lymphoid tissue","70%-30%","LabelPowerSet"
"363",1,"Low tissue specificity",10,1,"1-Low tissue specificity","70%-30%","RakelD"
"364",2,"bone marrow",1,2,"2-Tissue enhanced: bone marrow","70%-30%","RakelD"
"365",3,"bone marrow, gallbladder, salivary gland",1,3,"3-Tissue enhanced: bone marrow, gallbladder, salivary gland","70%-30%","RakelD"
"366",4,"bone marrow, lung, lymphoid tissue",1,4,"4-Tissue enhanced: bone marrow, lung, lymphoid tissue","70%-30%","RakelD"
"367",5,"bone marrow, lymphoid tissue",1,5,"5-Tissue enhanced: bone marrow, lymphoid tissue","70%-30%","RakelD"
"368",6,"brain",3,6,"6-Tissue enhanced: brain","70%-30%","RakelD"
"369",7,"brain, parathyroid gland",1,7,"7-Tissue enhanced: brain, parathyroid gland","70%-30%","RakelD"
"370",8,"brain, placenta, salivary gland, thyroid gland",1,8,"8-Tissue enhanced: brain, placenta, salivary gland, thyroid gland","70%-30%","RakelD"
"371",9,"brain, testis",1,9,"9-Tissue enhanced: brain, testis","70%-30%","RakelD"
"372",10,"brain, urinary bladder",1,10,"10-Tissue enhanced: brain, urinary bladder","70%-30%","RakelD"
"373",11,"breast, liver, lymphoid tissue",1,11,"11-Tissue enhanced: breast, liver, lymphoid tissue","70%-30%","RakelD"
"374",12,"endometrium 1",2,12,"12-Tissue enhanced: endometrium 1","70%-30%","RakelD"
"375",13,"endometrium 1, gallbladder, lymphoid tissue, smooth muscle",1,13,"13-Tissue enhanced: endometrium 1, gallbladder, lymphoid tissue, smooth muscle","70%-30%","RakelD"
"376",14,"esophagus",1,14,"14-Tissue enhanced: esophagus","70%-30%","RakelD"
"377",15,"gallbladder, urinary bladder",1,15,"15-Tissue enhanced: gallbladder, urinary bladder","70%-30%","RakelD"
"378",16,"lung",2,16,"16-Tissue enhanced: lung","70%-30%","RakelD"
"379",17,"lung, lymphoid tissue",1,17,"17-Tissue enhanced: lung, lymphoid tissue","70%-30%","RakelD"
"380",18,"lung, urinary bladder",1,18,"18-Tissue enhanced: lung, urinary bladder","70%-30%","RakelD"
"381",19,"lymphoid tissue",1,19,"19-Tissue enhanced: lymphoid tissue","70%-30%","RakelD"
"382",20,"lymphoid tissue, placenta",1,20,"20-Tissue enhanced: lymphoid tissue, placenta","70%-30%","RakelD"
"383",21,"skin 1",1,21,"21-Tissue enhanced: skin 1","70%-30%","RakelD"
"384",22,"adrenal gland",1,22,"22-Tissue enriched: adrenal gland","70%-30%","RakelD"
"385",23,"bone marrow",1,23,"23-Tissue enriched: bone marrow","70%-30%","RakelD"
"386",24,"brain",1,24,"24-Tissue enriched: brain","70%-30%","RakelD"
"387",25,"epididymis",1,25,"25-Tissue enriched: epididymis","70%-30%","RakelD"
"388",26,"liver",3,26,"26-Tissue enriched: liver","70%-30%","RakelD"
"389",27,"lymphoid tissue",1,27,"27-Tissue enriched: lymphoid tissue","70%-30%","RakelD"
"390",28,"placenta",1,28,"28-Tissue enriched: placenta","70%-30%","RakelD"
"391",1,"intestine, lymphoid tissue",1,1,"1-Group enriched: intestine, lymphoid tissue","70%-30%","SVM"
"392",2,"Low tissue specificity",6,2,"2-Low tissue specificity","70%-30%","SVM"
"393",3,"adrenal gland, brain, pancreas",1,3,"3-Tissue enhanced: adrenal gland, brain, pancreas","70%-30%","SVM"
"394",4,"bone marrow",1,4,"4-Tissue enhanced: bone marrow","70%-30%","SVM"
"395",5,"bone marrow, lymphoid tissue",1,5,"5-Tissue enhanced: bone marrow, lymphoid tissue","70%-30%","SVM"
"396",6,"brain",1,6,"6-Tissue enhanced: brain","70%-30%","SVM"
"397",7,"cervix",1,7,"7-Tissue enhanced: cervix","70%-30%","SVM"
"398",8,"cervix, gallbladder",1,8,"8-Tissue enhanced: cervix, gallbladder","70%-30%","SVM"
"399",9,"intestine, urinary bladder",1,9,"9-Tissue enhanced: intestine, urinary bladder","70%-30%","SVM"
"400",10,"kidney, liver",1,10,"10-Tissue enhanced: kidney, liver","70%-30%","SVM"
"401",11,"salivary gland",1,11,"11-Tissue enhanced: salivary gland","70%-30%","SVM"
"402",12,"brain",1,12,"12-Tissue enriched: brain","70%-30%","SVM"
"403",13,"epididymis",1,13,"13-Tissue enriched: epididymis","70%-30%","SVM"
"404",14,"pancreas",2,14,"14-Tissue enriched: pancreas","70%-30%","SVM"
"405",1,"adrenal gland, brain, pituitary gland",1,1,"1-Group enriched: adrenal gland, brain, pituitary gland","75%-25%","Deep"
"406",2,"brain, choroid plexus",1,2,"2-Group enriched: brain, choroid plexus","75%-25%","Deep"
"407",3,"brain, gallbladder",1,3,"3-Group enriched: brain, gallbladder","75%-25%","Deep"
"408",4,"brain, retina",1,4,"4-Group enriched: brain, retina","75%-25%","Deep"
"409",5,"breast, pituitary gland, salivary gland, stomach 1",1,5,"5-Group enriched: breast, pituitary gland, salivary gland, stomach 1","75%-25%","Deep"
"410",6,"esophagus, lung, salivary gland, stomach 1",1,6,"6-Group enriched: esophagus, lung, salivary gland, stomach 1","75%-25%","Deep"
"411",7,"esophagus, vagina",1,7,"7-Group enriched: esophagus, vagina","75%-25%","Deep"
"412",8,"intestine, liver",2,8,"8-Group enriched: intestine, liver","75%-25%","Deep"
"413",9,"intestine, lymphoid tissue",1,9,"9-Group enriched: intestine, lymphoid tissue","75%-25%","Deep"
"414",10,"intestine, pancreas",1,10,"10-Group enriched: intestine, pancreas","75%-25%","Deep"
"415",11,"kidney, pancreas, skeletal muscle",1,11,"11-Group enriched: kidney, pancreas, skeletal muscle","75%-25%","Deep"
"416",12,"kidney, thyroid gland",1,12,"12-Group enriched: kidney, thyroid gland","75%-25%","Deep"
"417",13,"Low tissue specificity",35,13,"13-Low tissue specificity","75%-25%","Deep"
"418",14,"adipose tissue",1,14,"14-Tissue enhanced: adipose tissue","75%-25%","Deep"
"419",15,"adipose tissue, heart muscle",1,15,"15-Tissue enhanced: adipose tissue, heart muscle","75%-25%","Deep"
"420",16,"adrenal gland",1,16,"16-Tissue enhanced: adrenal gland","75%-25%","Deep"
"421",17,"adrenal gland, brain, pancreas",1,17,"17-Tissue enhanced: adrenal gland, brain, pancreas","75%-25%","Deep"
"422",18,"adrenal gland, liver, pancreas",1,18,"18-Tissue enhanced: adrenal gland, liver, pancreas","75%-25%","Deep"
"423",19,"bone marrow",1,19,"19-Tissue enhanced: bone marrow","75%-25%","Deep"
"424",20,"bone marrow, lung, lymphoid tissue",2,20,"20-Tissue enhanced: bone marrow, lung, lymphoid tissue","75%-25%","Deep"
"425",21,"bone marrow, lymphoid tissue",5,21,"21-Tissue enhanced: bone marrow, lymphoid tissue","75%-25%","Deep"
"426",22,"brain",5,22,"22-Tissue enhanced: brain","75%-25%","Deep"
"427",23,"brain, liver",1,23,"23-Tissue enhanced: brain, liver","75%-25%","Deep"
"428",24,"brain, pancreas",1,24,"24-Tissue enhanced: brain, pancreas","75%-25%","Deep"
"429",25,"brain, pancreas, pituitary gland",1,25,"25-Tissue enhanced: brain, pancreas, pituitary gland","75%-25%","Deep"
"430",26,"brain, parathyroid gland",1,26,"26-Tissue enhanced: brain, parathyroid gland","75%-25%","Deep"
"431",27,"brain, pituitary gland",1,27,"27-Tissue enhanced: brain, pituitary gland","75%-25%","Deep"
"432",28,"brain, retina",1,28,"28-Tissue enhanced: brain, retina","75%-25%","Deep"
"433",29,"breast, fallopian tube, pancreas",1,29,"29-Tissue enhanced: breast, fallopian tube, pancreas","75%-25%","Deep"
"434",30,"cervix, gallbladder",1,30,"30-Tissue enhanced: cervix, gallbladder","75%-25%","Deep"
"435",31,"cervix, lymphoid tissue",1,31,"31-Tissue enhanced: cervix, lymphoid tissue","75%-25%","Deep"
"436",32,"cervix, retina",1,32,"32-Tissue enhanced: cervix, retina","75%-25%","Deep"
"437",33,"cervix, salivary gland",1,33,"33-Tissue enhanced: cervix, salivary gland","75%-25%","Deep"
"438",34,"endometrium 1, seminal vesicle, smooth muscle",1,34,"34-Tissue enhanced: endometrium 1, seminal vesicle, smooth muscle","75%-25%","Deep"
"439",35,"endometrium 1, smooth muscle",1,35,"35-Tissue enhanced: endometrium 1, smooth muscle","75%-25%","Deep"
"440",36,"esophagus, lymphoid tissue, vagina",1,36,"36-Tissue enhanced: esophagus, lymphoid tissue, vagina","75%-25%","Deep"
"441",37,"gallbladder",1,37,"37-Tissue enhanced: gallbladder","75%-25%","Deep"
"442",38,"intestine",1,38,"38-Tissue enhanced: intestine","75%-25%","Deep"
"443",39,"intestine, lymphoid tissue, stomach 1, urinary bladder",1,39,"39-Tissue enhanced: intestine, lymphoid tissue, stomach 1, urinary bladder","75%-25%","Deep"
"444",40,"intestine, salivary gland",1,40,"40-Tissue enhanced: intestine, salivary gland","75%-25%","Deep"
"445",41,"kidney, thyroid gland",1,41,"41-Tissue enhanced: kidney, thyroid gland","75%-25%","Deep"
"446",42,"liver",1,42,"42-Tissue enhanced: liver","75%-25%","Deep"
"447",43,"liver, pancreas",1,43,"43-Tissue enhanced: liver, pancreas","75%-25%","Deep"
"448",44,"lung",2,44,"44-Tissue enhanced: lung","75%-25%","Deep"
"449",45,"lung, lymphoid tissue, skin 1",1,45,"45-Tissue enhanced: lung, lymphoid tissue, skin 1","75%-25%","Deep"
"450",46,"lymphoid tissue",6,46,"46-Tissue enhanced: lymphoid tissue","75%-25%","Deep"
"451",47,"lymphoid tissue, placenta",1,47,"47-Tissue enhanced: lymphoid tissue, placenta","75%-25%","Deep"
"452",48,"lymphoid tissue, smooth muscle",1,48,"48-Tissue enhanced: lymphoid tissue, smooth muscle","75%-25%","Deep"
"453",49,"ovary, pancreas",1,49,"49-Tissue enhanced: ovary, pancreas","75%-25%","Deep"
"454",50,"parathyroid gland, testis",1,50,"50-Tissue enhanced: parathyroid gland, testis","75%-25%","Deep"
"455",51,"placenta",3,51,"51-Tissue enhanced: placenta","75%-25%","Deep"
"456",52,"retina",1,52,"52-Tissue enhanced: retina","75%-25%","Deep"
"457",53,"skeletal muscle",1,53,"53-Tissue enhanced: skeletal muscle","75%-25%","Deep"
"458",54,"skin 1",1,54,"54-Tissue enhanced: skin 1","75%-25%","Deep"
"459",55,"tongue",1,55,"55-Tissue enhanced: tongue","75%-25%","Deep"
"460",56,"bone marrow",4,56,"56-Tissue enriched: bone marrow","75%-25%","Deep"
"461",57,"heart muscle",1,57,"57-Tissue enriched: heart muscle","75%-25%","Deep"
"462",58,"kidney",1,58,"58-Tissue enriched: kidney","75%-25%","Deep"
"463",59,"liver",3,59,"59-Tissue enriched: liver","75%-25%","Deep"
"464",60,"lymphoid tissue",6,60,"60-Tissue enriched: lymphoid tissue","75%-25%","Deep"
"465",61,"pancreas",3,61,"61-Tissue enriched: pancreas","75%-25%","Deep"
"466",62,"placenta",1,62,"62-Tissue enriched: placenta","75%-25%","Deep"
"467",63,"retina",1,63,"63-Tissue enriched: retina","75%-25%","Deep"
"468",64,"skin 1",1,64,"64-Tissue enriched: skin 1","75%-25%","Deep"
"469",65,"stomach 1",1,65,"65-Tissue enriched: stomach 1","75%-25%","Deep"
"470",66,"testis",1,66,"66-Tissue enriched: testis","75%-25%","Deep"
"471",67,"thyroid gland",1,67,"67-Tissue enriched: thyroid gland","75%-25%","Deep"
"472",1,"placenta",1,1,"1-Tissue enriched: placenta","75%-25%","ClassifierChains"
"473",1,"bone marrow, lymphoid tissue",1,1,"1-Group enriched: bone marrow, lymphoid tissue","75%-25%","RakelD"
"474",2,"lymphoid tissue, placenta",1,2,"2-Group enriched: lymphoid tissue, placenta","75%-25%","RakelD"
"475",3,"Low tissue specificity",8,3,"3-Low tissue specificity","75%-25%","RakelD"
"476",4,"breast, liver, lymphoid tissue",1,4,"4-Tissue enhanced: breast, liver, lymphoid tissue","75%-25%","RakelD"
"477",5,"gallbladder, urinary bladder",1,5,"5-Tissue enhanced: gallbladder, urinary bladder","75%-25%","RakelD"
"478",6,"kidney, liver",1,6,"6-Tissue enhanced: kidney, liver","75%-25%","RakelD"
"479",7,"liver",1,7,"7-Tissue enhanced: liver","75%-25%","RakelD"
"480",8,"lung, urinary bladder",1,8,"8-Tissue enhanced: lung, urinary bladder","75%-25%","RakelD"
"481",9,"lymphoid tissue",3,9,"9-Tissue enhanced: lymphoid tissue","75%-25%","RakelD"
"482",10,"parathyroid gland",1,10,"10-Tissue enhanced: parathyroid gland","75%-25%","RakelD"
"483",11,"retina",1,11,"11-Tissue enhanced: retina","75%-25%","RakelD"
"484",12,"liver",1,12,"12-Tissue enriched: liver","75%-25%","RakelD"
"485",13,"lymphoid tissue",1,13,"13-Tissue enriched: lymphoid tissue","75%-25%","RakelD"
"486",1,"esophagus, lung, salivary gland, stomach 1",1,1,"1-Group enriched: esophagus, lung, salivary gland, stomach 1","75%-25%","HARAM"
"487",2,"esophagus, salivary gland, skin 1, vagina",1,2,"2-Group enriched: esophagus, salivary gland, skin 1, vagina","75%-25%","HARAM"
"488",3,"intestine, pancreas",1,3,"3-Group enriched: intestine, pancreas","75%-25%","HARAM"
"489",4,"Low tissue specificity",1,4,"4-Low tissue specificity","75%-25%","HARAM"
"490",5,"cervix, endometrium 1",1,5,"5-Tissue enhanced: cervix, endometrium 1","75%-25%","HARAM"
"491",6,"endometrium 1",1,6,"6-Tissue enhanced: endometrium 1","75%-25%","HARAM"
"492",7,"liver, placenta",1,7,"7-Tissue enhanced: liver, placenta","75%-25%","HARAM"
"493",8,"ovary",1,8,"8-Tissue enhanced: ovary","75%-25%","HARAM"
"494",9,"urinary bladder",1,9,"9-Tissue enhanced: urinary bladder","75%-25%","HARAM"
"495",10,"brain",1,10,"10-Tissue enriched: brain","75%-25%","HARAM"
"496",11,"pituitary gland",1,11,"11-Tissue enriched: pituitary gland","75%-25%","HARAM"
"497",12,"placenta",1,12,"12-Tissue enriched: placenta","75%-25%","HARAM"
"498",1,"esophagus, parathyroid gland",1,1,"1-Group enriched: esophagus, parathyroid gland","75%-25%","SVM"
"499",2,"esophagus, salivary gland, skin 1, vagina",1,2,"2-Group enriched: esophagus, salivary gland, skin 1, vagina","75%-25%","SVM"
"500",3,"intestine, lymphoid tissue",1,3,"3-Group enriched: intestine, lymphoid tissue","75%-25%","SVM"
"501",4,"Low tissue specificity",15,4,"4-Low tissue specificity","75%-25%","SVM"
"502",5,"Not detected",1,5,"5-Not detected","75%-25%","SVM"
"503",6,"adipose tissue",1,6,"6-Tissue enhanced: adipose tissue","75%-25%","SVM"
"504",7,"adipose tissue, lymphoid tissue, urinary bladder",1,7,"7-Tissue enhanced: adipose tissue, lymphoid tissue, urinary bladder","75%-25%","SVM"
"505",8,"bone marrow, lymphoid tissue",1,8,"8-Tissue enhanced: bone marrow, lymphoid tissue","75%-25%","SVM"
"506",9,"brain",2,9,"9-Tissue enhanced: brain","75%-25%","SVM"
"507",10,"brain, choroid plexus, lung",1,10,"10-Tissue enhanced: brain, choroid plexus, lung","75%-25%","SVM"
"508",11,"brain, smooth muscle, urinary bladder",1,11,"11-Tissue enhanced: brain, smooth muscle, urinary bladder","75%-25%","SVM"
"509",12,"cervix, endometrium 1",1,12,"12-Tissue enhanced: cervix, endometrium 1","75%-25%","SVM"
"510",13,"cervix, endometrium 1, smooth muscle",1,13,"13-Tissue enhanced: cervix, endometrium 1, smooth muscle","75%-25%","SVM"
"511",14,"cervix, salivary gland",1,14,"14-Tissue enhanced: cervix, salivary gland","75%-25%","SVM"
"512",15,"choroid plexus, ovary",1,15,"15-Tissue enhanced: choroid plexus, ovary","75%-25%","SVM"
"513",16,"endometrium 1",1,16,"16-Tissue enhanced: endometrium 1","75%-25%","SVM"
"514",17,"gallbladder, salivary gland, urinary bladder",1,17,"17-Tissue enhanced: gallbladder, salivary gland, urinary bladder","75%-25%","SVM"
"515",18,"liver",1,18,"18-Tissue enhanced: liver","75%-25%","SVM"
"516",19,"liver, lung, lymphoid tissue",1,19,"19-Tissue enhanced: liver, lung, lymphoid tissue","75%-25%","SVM"
"517",20,"liver, placenta",1,20,"20-Tissue enhanced: liver, placenta","75%-25%","SVM"
"518",21,"placenta",2,21,"21-Tissue enhanced: placenta","75%-25%","SVM"
"519",22,"skin 1",2,22,"22-Tissue enhanced: skin 1","75%-25%","SVM"
"520",23,"smooth muscle",1,23,"23-Tissue enhanced: smooth muscle","75%-25%","SVM"
