,0
0,CXCL9
1,DSG3
2,RBP5
3,TNFRSF14
4,LAIR1
5,CEACAM8
6,KITLG
7,CCDC80
8,ACP5
9,SPON2
10,NECTIN2
11,GZMH
12,PRSS8
13,NTRK2
14,FCN2
15,TIA1
16,SPINT2
17,DRAXIN
18,CXCL10
19,WASF1
20,NPPB
21,SIRPA
22,EGFL7
23,HSPG2
24,FKBP1B
25,ITGA11
26,KLK11
27,CCL23
28,ACTN4
29,SEMA4D
30,THBD
31,ADAM22
32,COX5B
33,ADAMTS15
34,ERBB2
35,ARHGAP25
36,TGFA
37,CNTN5
38,MMP10
39,CD209
40,ADAMTS16
41,YES1
42,CXCL16
43,HYOU1
44,TNFSF12
45,C4BPB
46,SOST
47,PTS
48,TNFSF11
49,CXADR
50,THY1
51,CD300C
52,PON3
53,XCL1
54,IGF2R
55,AMY2B
56,VSIR
57,IL7R
58,SLC39A14
59,SDC4
60,CHRDL2
61,VCAN
62,ADGRG2
63,ENPP5
64,UXS1
65,CLEC11A
66,VASN
67,FCGR2A
68,SPARC
69,ADAM23
70,AGXT
71,LCN2
72,TNF
73,EPHB4
74,PAPPA
75,CCL11
76,LIF
77,REG1A
78,IL6R
79,SORT1
80,ADGRB3
81,AGRP
82,PLTP
83,CD99
84,TNFRSF21
85,DPT
86,GPNMB
87,IGFBP4
88,CCL13
89,FOSB
90,P4HB
91,CNTN1
92,DAG1
93,ANGPTL7
94,DPP10
95,COLEC12
96,FETUB
97,TFPI
98,EDAR
99,DKK1
100,CEACAM21
101,SH2B3
102,CCN4
103,CST6
104,TIMP3
105,CD59
106,MILR1
107,ITGA5
108,MFAP5
109,COL1A1
110,IDUA
111,HMOX2
112,PDP1
113,INHBC
114,MANF
115,ACVRL1
116,RARRES2
117,APP
118,IL32
119,CCN3
120,DCBLD2
121,ICAM1
122,PCSK9
123,S100P
124,GPR37
125,ULBP2
126,ROBO1
127,IFNGR1
128,THBS2
129,ESAM
130,FABP4
131,ADGRE2
132,GALNT2
133,CD83
134,REG1B
135,LAT
136,HAO1
137,CCL24
138,GP1BA
139,SCARB2
140,NFKBIE
141,TNFRSF10C
142,CFC1
143,SPOCK1
144,NEFL
145,OGN
146,REG3A
147,RSPO3
148,SMOC2
149,TSHB
150,0.01265822784810129
