,0
0,APOH
1,CTSF
2,MIA
3,CPM
4,EDAR
5,DPP10
6,IL10RB
7,MFAP3
8,FCRL5
9,ITGA11
10,ACE2
11,TNF
12,CCL14
13,CD300LG
14,ADAM15
15,SCARB2
16,CD99
17,CCL21
18,CCL28
19,FGFBP1
20,MDK
21,PCOLCE
