"","Tissue","Total","Organ_Count","Tissue_Count","Split","Model"
"1","Group enriched: adipose tissue, brain, ovary",1,1,"1-Group enriched: adipose tissue, brain, ovary","60%-40%","Deep"
"2","Group enriched: adipose tissue, breast",1,2,"2-Group enriched: adipose tissue, breast","60%-40%","Deep"
"3","Group enriched: adrenal gland, pituitary gland",1,3,"3-Group enriched: adrenal gland, pituitary gland","60%-40%","Deep"
"4","Group enriched: adrenal gland, pituitary gland, placenta",1,4,"4-Group enriched: adrenal gland, pituitary gland, placenta","60%-40%","Deep"
"5","Group enriched: bone marrow, brain, lymphoid tissue, thyroid gland",1,5,"5-Group enriched: bone marrow, brain, lymphoid tissue, thyroid gland","60%-40%","Deep"
"6","Group enriched: bone marrow, lung, lymphoid tissue",1,6,"6-Group enriched: bone marrow, lung, lymphoid tissue","60%-40%","Deep"
"7","Group enriched: bone marrow, lymphoid tissue",2,7,"7-Group enriched: bone marrow, lymphoid tissue","60%-40%","Deep"
"8","Group enriched: bone marrow, skeletal muscle",1,8,"8-Group enriched: bone marrow, skeletal muscle","60%-40%","Deep"
"9","Group enriched: brain, choroid plexus",1,9,"9-Group enriched: brain, choroid plexus","60%-40%","Deep"
"10","Group enriched: brain, epididymis",1,10,"10-Group enriched: brain, epididymis","60%-40%","Deep"
"11","Group enriched: brain, gallbladder",1,11,"11-Group enriched: brain, gallbladder","60%-40%","Deep"
"12","Group enriched: brain, intestine, pancreas, pituitary gland, stomach 1",1,12,"12-Group enriched: brain, intestine, pancreas, pituitary gland, stomach 1","60%-40%","Deep"
"13","Group enriched: brain, pituitary gland",1,13,"13-Group enriched: brain, pituitary gland","60%-40%","Deep"
"14","Group enriched: brain, skeletal muscle",1,14,"14-Group enriched: brain, skeletal muscle","60%-40%","Deep"
"15","Group enriched: brain, skeletal muscle, tongue",1,15,"15-Group enriched: brain, skeletal muscle, tongue","60%-40%","Deep"
"16","Group enriched: breast, pituitary gland, salivary gland, stomach 1",1,16,"16-Group enriched: breast, pituitary gland, salivary gland, stomach 1","60%-40%","Deep"
"17","Group enriched: esophagus, lung, salivary gland, stomach 1",1,17,"17-Group enriched: esophagus, lung, salivary gland, stomach 1","60%-40%","Deep"
"18","Group enriched: esophagus, lymphoid tissue, vagina",1,18,"18-Group enriched: esophagus, lymphoid tissue, vagina","60%-40%","Deep"
"19","Group enriched: esophagus, parathyroid gland",1,19,"19-Group enriched: esophagus, parathyroid gland","60%-40%","Deep"
"20","Group enriched: esophagus, salivary gland, skin 1, vagina",1,20,"20-Group enriched: esophagus, salivary gland, skin 1, vagina","60%-40%","Deep"
"21","Group enriched: fallopian tube, lung",1,21,"21-Group enriched: fallopian tube, lung","60%-40%","Deep"
"22","Group enriched: gallbladder, lymphoid tissue, urinary bladder",1,22,"22-Group enriched: gallbladder, lymphoid tissue, urinary bladder","60%-40%","Deep"
"23","Group enriched: heart muscle, skeletal muscle, tongue",1,23,"23-Group enriched: heart muscle, skeletal muscle, tongue","60%-40%","Deep"
"24","Group enriched: intestine, kidney",1,24,"24-Group enriched: intestine, kidney","60%-40%","Deep"
"25","Group enriched: intestine, liver",1,25,"25-Group enriched: intestine, liver","60%-40%","Deep"
"26","Group enriched: intestine, lymphoid tissue",3,26,"26-Group enriched: intestine, lymphoid tissue","60%-40%","Deep"
"27","Group enriched: intestine, lymphoid tissue, skin 1, urinary bladder",1,27,"27-Group enriched: intestine, lymphoid tissue, skin 1, urinary bladder","60%-40%","Deep"
"28","Group enriched: intestine, pancreas",2,28,"28-Group enriched: intestine, pancreas","60%-40%","Deep"
"29","Group enriched: kidney, liver",1,29,"29-Group enriched: kidney, liver","60%-40%","Deep"
"30","Group enriched: kidney, pancreas, skeletal muscle",1,30,"30-Group enriched: kidney, pancreas, skeletal muscle","60%-40%","Deep"
"31","Group enriched: lymphoid tissue, placenta",1,31,"31-Group enriched: lymphoid tissue, placenta","60%-40%","Deep"
"32","Low tissue specificity",131,32,"32-Low tissue specificity","60%-40%","Deep"
"33","Not detected",1,33,"33-Not detected","60%-40%","Deep"
"34","Tissue enhanced: adipose tissue",3,34,"34-Tissue enhanced: adipose tissue","60%-40%","Deep"
"35","Tissue enhanced: adipose tissue, breast, placenta",1,35,"35-Tissue enhanced: adipose tissue, breast, placenta","60%-40%","Deep"
"36","Tissue enhanced: adipose tissue, lymphoid tissue, urinary bladder",1,36,"36-Tissue enhanced: adipose tissue, lymphoid tissue, urinary bladder","60%-40%","Deep"
"37","Tissue enhanced: adrenal gland",1,37,"37-Tissue enhanced: adrenal gland","60%-40%","Deep"
"38","Tissue enhanced: adrenal gland, brain",1,38,"38-Tissue enhanced: adrenal gland, brain","60%-40%","Deep"
"39","Tissue enhanced: adrenal gland, liver, pancreas",1,39,"39-Tissue enhanced: adrenal gland, liver, pancreas","60%-40%","Deep"
"40","Tissue enhanced: bone marrow",6,40,"40-Tissue enhanced: bone marrow","60%-40%","Deep"
