,Model,Proportion,HL,Prec,Rec,F1,Jac
0,MLKNN,70_30,0.0012658227848101266,1.0,0.7329113924050633,0.7329113924050633,0.7329113924050633
0,HARAM,70_30,0.011980322754814325,0.5938818565400844,0.7354430379746836,0.43330087633885106,0.43312236286919836
0,BR_MultinomialNB,70_30,0.0012658227848101266,1.0,0.7329113924050633,0.7329113924050633,0.7329113924050633
0,Label Powerset GradientBooster,70_30,0.002531645569620253,0.9949367088607595,0.7329113924050633,0.7291139240506329,0.7291139240506329
0,ClassifierChain,70_30,0.0025196472493850862,0.997474440116845,0.7341772151898734,0.7316576827569499,0.7316516553067185
0,Label Powerset SVC,70_30,0.002531645569620253,0.9962025316455696,0.7329113924050633,0.730379746835443,0.730379746835443
0,RandomForest,70_30,0.0012658227848101266,1.0,0.7329113924050633,0.7329113924050633,0.7329113924050633
0,DecisionTree,70_30,0.0012658227848101266,1.0,0.7329113924050633,0.7329113924050633,0.7329113924050633
0,SVM,70_30,0.17223588697582337,0.4930432754489748,0.7772151898734178,0.3542278481012658,0.3538027691198609
0,BR_kNN,70_30,0.0012658227848101266,1.0,0.7329113924050633,0.7329113924050633,0.7329113924050633
0,RakelD,70_30,0.20560321554982303,0.6837961766985274,0.7822784810126582,0.49290625200796767,0.49265693619219836
