"","Tissue","Total","Organ_Count","Tissue_Count","Split","Model"
"57","Tissue enhanced: lung, lymphoid tissue",2,57,"57-Tissue enhanced: lung, lymphoid tissue","70%-30%","Deep"
"58","Tissue enhanced: lung, urinary bladder",1,58,"58-Tissue enhanced: lung, urinary bladder","70%-30%","Deep"
"59","Tissue enhanced: lymphoid tissue",14,59,"59-Tissue enhanced: lymphoid tissue","70%-30%","Deep"
"60","Tissue enhanced: lymphoid tissue, pituitary gland",1,60,"60-Tissue enhanced: lymphoid tissue, pituitary gland","70%-30%","Deep"
"61","Tissue enhanced: lymphoid tissue, placenta",1,61,"61-Tissue enhanced: lymphoid tissue, placenta","70%-30%","Deep"
"62","Tissue enhanced: parathyroid gland",1,62,"62-Tissue enhanced: parathyroid gland","70%-30%","Deep"
"63","Tissue enhanced: parathyroid gland, seminal vesicle",1,63,"63-Tissue enhanced: parathyroid gland, seminal vesicle","70%-30%","Deep"
"64","Tissue enhanced: parathyroid gland, testis",1,64,"64-Tissue enhanced: parathyroid gland, testis","70%-30%","Deep"
"65","Tissue enhanced: placenta",4,65,"65-Tissue enhanced: placenta","70%-30%","Deep"
"66","Tissue enhanced: placenta, thyroid gland",1,66,"66-Tissue enhanced: placenta, thyroid gland","70%-30%","Deep"
"67","Tissue enhanced: retina",1,67,"67-Tissue enhanced: retina","70%-30%","Deep"
"68","Tissue enhanced: salivary gland",1,68,"68-Tissue enhanced: salivary gland","70%-30%","Deep"
"69","Tissue enhanced: skeletal muscle",4,69,"69-Tissue enhanced: skeletal muscle","70%-30%","Deep"
"70","Tissue enhanced: skeletal muscle, tongue",3,70,"70-Tissue enhanced: skeletal muscle, tongue","70%-30%","Deep"
"71","Tissue enhanced: skin 1",2,71,"71-Tissue enhanced: skin 1","70%-30%","Deep"
"72","Tissue enhanced: testis",1,72,"72-Tissue enhanced: testis","70%-30%","Deep"
"73","Tissue enhanced: urinary bladder",1,73,"73-Tissue enhanced: urinary bladder","70%-30%","Deep"
"74","Tissue enriched: bone marrow",2,74,"74-Tissue enriched: bone marrow","70%-30%","Deep"
"75","Tissue enriched: bone marrow, Tissue enriched: bone marrow",1,75,"75-Tissue enriched: bone marrow, Tissue enriched: bone marrow","70%-30%","Deep"
"76","Tissue enriched: brain",4,76,"76-Tissue enriched: brain","70%-30%","Deep"
"77","Tissue enriched: endometrium 1",1,77,"77-Tissue enriched: endometrium 1","70%-30%","Deep"
"78","Tissue enriched: intestine",2,78,"78-Tissue enriched: intestine","70%-30%","Deep"
"79","Tissue enriched: liver",5,79,"79-Tissue enriched: liver","70%-30%","Deep"
"80","Tissue enriched: lung",2,80,"80-Tissue enriched: lung","70%-30%","Deep"
"81","Tissue enriched: lymphoid tissue",3,81,"81-Tissue enriched: lymphoid tissue","70%-30%","Deep"
"82","Tissue enriched: pancreas",4,82,"82-Tissue enriched: pancreas","70%-30%","Deep"
"83","Tissue enriched: salivary gland",1,83,"83-Tissue enriched: salivary gland","70%-30%","Deep"
"84","Tissue enriched: skeletal muscle",1,84,"84-Tissue enriched: skeletal muscle","70%-30%","Deep"
"85","Tissue enriched: skin 1",3,85,"85-Tissue enriched: skin 1","70%-30%","Deep"
"86","Tissue enriched: stomach 1",2,86,"86-Tissue enriched: stomach 1","70%-30%","Deep"
"87",NA,1,87,"87-NA","70%-30%","Deep"
