,Model,Proportion,HL,Prec,Rec,F1,Jac
0,MLKNN,75_25,0.0011806375442739079,1.0,0.9940968122786304,0.9940968122786304,0.9940968122786304
0,HARAM,75_25,0.08358913813459268,0.6593860684769776,0.9952774498229043,0.6560409287682016,0.6558441558441559
0,BR_MultinomialNB,75_25,0.0011806375442739079,1.0,0.9940968122786304,0.9940968122786304,0.9940968122786304
0,Label Powerset GradientBooster,75_25,0.0023612750885478157,0.9952774498229043,0.9940968122786304,0.9893742621015348,0.9893742621015348
0,ClassifierChain,75_25,0.0018890200708382527,0.9982290436835891,0.9952774498229043,0.9937032664305393,0.9935064935064936
0,Label Powerset SVC,75_25,0.0023612750885478157,0.9988193624557261,0.9940968122786304,0.9929161747343566,0.9929161747343566
0,RandomForest,75_25,0.0014167650531286896,0.9988193624557261,0.9940968122786304,0.9929161747343566,0.9929161747343566
0,DecisionTree,75_25,0.0014167650531286896,0.9988193624557261,0.9940968122786304,0.9929161747343566,0.9929161747343566
0,SVM,75_25,0.38536009445100355,0.34750098386462025,0.9952774498229043,0.34297520661157027,0.34277843368752464
0,BR_kNN,75_25,0.0011806375442739079,1.0,0.9940968122786304,0.9940968122786304,0.9940968122786304
0,RakelD,75_25,0.015112160566706022,0.9338842975206612,0.9940968122786304,0.9279811097992916,0.9279811097992916
